CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;68;100;5;146;18;94
01:00;76;155;13;344;39;135
02:00;68;145;11;307;37;125
03:00;62;137;11;285;28;104
04:00;64;142;9;274;29;108
05:00;64;139;8;264;37;121
06:00;72;131;9;271;109;238
07:00;76;132;8;262;124;266
08:00;82;136;7;254;144;303
09:00;89;129;5;253;142;308
10:00;75;118;7;207;63;170
11:00;71;115;14;176;38;129
12:00;67;114;27;139;24;103
13:00;58;109;36;124;15;82
14:00;46;82;41;81;11;63
15:00;48;66;35;63;15;70
16:00;51;53;28;55;15;73
17:00;67;;17;62;20;97
18:00;81;65;5;94;35;135
19:00;89;75;4;115;41;153
20:00;78;65;5;108;33;129
21:00;80;82;3;127;34;132
22:00;81;98;4;147;51;159
23:00;73;102;4;141;29;117
