CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;52;3;79;49;133;253
01:00;44;3;75;41;117;222
02:00;36;3;103;73;212;359
03:00;30;3;86;64;185;313
04:00;25;3;76;56;171;287
05:00;24;3;69;48;159;267
06:00;35;3;77;53;201;341
07:00;37;3;83;58;190;327
08:00;35;4;72;47;119;216
09:00;35;3;82;50;72;145
10:00;37;3;81;46;73;148
11:00;37;3;70;43;53;117
12:00;35;3;69;45;37;90
13:00;24;3;61;40;11;40
14:00;16;5;53;31;3;21
15:00;;;35;22;;
16:00;8;3;21;19;0;8
17:00;8;3;24;13;0;9
18:00;16;3;36;23;1;17
19:00;31;3;70;39;1;33
20:00;46;3;77;55;3;50
21:00;71;3;90;62;119;253
22:00;67;3;111;61;205;380
23:00;59;3;91;50;171;319
