CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;47;6;48;28;13;5;54
01:00;76;5;7;40;19;35;129
02:00;51;9;3;95;79;81;174
03:00;44;7;3;92;74;79;165
04:00;41;6;2;86;72;100;195
05:00;43;7;3;78;67;112;214
06:00;54;7;2;75;64;215;382
07:00;64;7;2;72;55;277;487
08:00;82;13;3;69;53;300;540
09:00;68;12;10;41;33;78;187
10:00;25;4;52;19;14;6;36
11:00;16;2;68;14;8;3;21
12:00;18;1;72;13;5;4;25
13:00;18;1;76;10;4;4;24
14:00;13;1;81;8;4;3;17
15:00;22;2;78;12;3;5;30
16:00;33;3;74;10;5;7;43
17:00;40;6;69;13;8;8;53
18:00;48;5;68;18;8;9;61
19:00;47;6;65;23;11;6;56
20:00;34;5;75;24;14;3;38
21:00;26;6;78;28;15;2;29
22:00;23;6;78;22;17;1;24
23:00;35;6;65;26;13;9;48
