CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;13;3;49;24;4;19
01:00;12;3;47;24;4;17
02:00;21;10;116;;84;150
03:00;18;12;107;61;100;171
04:00;14;13;106;60;119;196
05:00;13;13;101;57;136;221
06:00;18;13;107;56;180;293
07:00;23;13;97;51;212;347
08:00;24;11;63;32;69;129
09:00;23;10;55;31;42;87
10:00;24;8;58;33;44;91
11:00;27;7;66;39;40;87
12:00;25;6;58;33;26;64
13:00;20;5;60;33;16;45
14:00;30;5;56;31;19;59
15:00;26;5;44;24;12;46
16:00;26;2;42;22;8;39
17:00;;;39;23;;
18:00;19;2;48;25;4;25
19:00;20;3;55;29;4;27
20:00;18;4;51;25;5;26
21:00;16;3;46;24;4;22
22:00;14;3;58;26;4;20
23:00;15;3;57;26;4;21
