CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;21;8;35;18;6;31
01:00;13;8;24;13;4;20
02:00;38;14;77;41;57;125
03:00;34;15;68;37;77;152
04:00;31;15;79;45;93;173
05:00;28;15;79;43;121;213
06:00;30;15;82;46;192;324
07:00;32;15;108;47;280;459
08:00;48;18;110;48;480;775
09:00;84;21;131;54;491;822
10:00;65;20;108;46;192;358
11:00;57;21;74;33;57;144
12:00;36;20;53;23;15;59
13:00;33;18;49;20;11;50
14:00;35;15;42;18;12;53
15:00;40;13;46;18;11;56
16:00;43;9;51;20;10;59
17:00;47;7;65;24;12;65
18:00;82;6;98;30;120;266
19:00;83;4;119;47;183;364
20:00;86;;149;69;282;517
21:00;66;3;116;55;132;268
22:00;45;6;115;62;70;153
23:00;34;8;62;31;25;73
