CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;55;5;4;254;201;280;483
01:00;49;5;3;250;173;220;384
02:00;46;8;4;275;209;339;564
03:00;47;8;3;249;193;348;580
04:00;40;7;2;220;175;357;585
05:00;39;6;2;191;148;332;547
06:00;33;5;2;125;88;198;336
07:00;26;3;2;70;44;8;39
08:00;28;3;3;52;35;27;69
09:00;29;6;4;59;37;25;68
10:00;31;;6;85;45;26;70
11:00;27;14;12;67;41;17;53
12:00;27;14;17;70;41;15;51
13:00;25;14;27;57;34;11;41
14:00;17;10;41;42;28;5;24
15:00;18;7;50;42;27;4;25
16:00;18;6;54;42;28;3;23
17:00;23;5;50;42;27;2;26
18:00;33;5;38;56;38;2;37
19:00;59;6;13;94;68;14;80
20:00;76;6;4;144;102;181;354
21:00;79;6;5;205;150;296;530
22:00;71;6;5;234;179;242;441
23:00;61;6;5;265;211;242;429
