CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;64;2;9;66;147;288
01:00;42;1;9;58;50;118
02:00;43;2;6;36;74;155
03:00;36;1;5;31;57;122
04:00;30;1;5;26;64;128
05:00;32;2;4;30;79;152
06:00;36;2;5;42;152;269
07:00;38;2;6;47;190;328
08:00;48;4;21;60;143;266
09:00;23;1;57;25;5;30
10:00;26;9;54;43;6;35
11:00;13;3;70;16;2;16
12:00;8;3;80;16;1;8
13:00;6;1;84;;0;6
14:00;8;;92;;0;8
15:00;7;1;96;;0;7
16:00;7;2;98;;0;7
17:00;;;100;22;;
18:00;8;1;;25;0;8
19:00;10;1;101;23;0;10
20:00;13;1;95;18;0;13
21:00;40;1;53;19;9;54
22:00;91;1;7;72;142;307
23:00;79;1;9;72;141;294
