CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;35;18;247;210;215;363
01:00;24;5;237;194;116;201
02:00;18;6;243;206;142;235
03:00;17;8;252;216;173;282
04:00;20;7;249;207;197;321
05:00;21;8;225;184;247;398
06:00;24;8;218;177;294;474
07:00;39;8;217;166;409;663
08:00;66;12;258;176;592;932
09:00;57;16;191;154;171;318
10:00;57;21;163;132;73;168
11:00;66;15;163;130;83;193
12:00;71;13;152;122;75;185
13:00;58;8;;66;24;95
14:00;59;5;;;20;90
15:00;57;;;;15;80
16:00;59;4;;56;13;78
17:00;57;5;;54;7;68
18:00;98;4;;81;293;517
19:00;128;7;;128;583;937
20:00;126;6;;152;614;951
21:00;88;6;;195;471;772
22:00;56;;;235;312;533
23:00;41;13;284;208;232;395
