CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;10;78;24;13;1;12
01:00;8;68;28;16;1;11
02:00;9;86;37;16;1;11
03:00;7;86;46;14;1;8
04:00;7;81;33;15;1;8
05:00;5;81;11;10;1;6
06:00;15;67;15;10;2;19
07:00;17;65;16;8;3;21
08:00;25;56;14;6;5;33
09:00;27;57;19;6;7;38
10:00;16;72;20;9;4;23
11:00;14;85;18;10;3;18
12:00;20;89;20;7;4;26
13:00;10;104;19;7;2;12
14:00;4;107;18;10;1;6
15:00;4;109;16;10;0;4
16:00;3;110;18;9;0;4
17:00;4;113;18;9;0;5
18:00;7;111;19;7;0;8
19:00;10;106;23;12;1;12
20:00;13;98;31;12;1;15
21:00;16;99;36;15;2;19
22:00;12;91;28;15;2;15
23:00;9;89;23;12;1;10
