CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;44;18;150;79;101;199
01:00;42;25;136;69;81;167
02:00;29;5;74;35;127;222
03:00;25;5;75;36;140;240
04:00;22;5;62;30;149;250
05:00;22;5;68;32;180;298
06:00;28;5;73;30;260;425
07:00;31;4;60;28;67;134
08:00;34;5;65;33;40;96
09:00;30;6;71;36;43;97
10:00;29;3;68;34;34;81
11:00;33;;67;35;36;88
12:00;40;6;91;36;32;89
13:00;50;5;104;34;38;108
14:00;54;7;82;30;30;100
15:00;51;;84;28;19;79
16:00;43;;81;28;10;58
17:00;44;14;62;24;5;52
18:00;59;4;59;25;10;74
19:00;89;2;128;48;269;500
20:00;94;4;140;55;414;725
21:00;76;8;191;88;304;542
22:00;53;11;188;91;186;338
23:00;52;11;196;97;228;402
