CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;39;20;145;120;32;87
01:00;52;30;125;103;3;59
02:00;48;20;115;98;3;52
03:00;52;15;115;97;4;60
04:00;58;15;116;94;6;67
05:00;55;18;105;86;3;60
06:00;46;18;105;87;3;52
07:00;47;18;112;90;4;55
08:00;50;18;113;86;10;66
09:00;44;15;103;83;18;71
10:00;44;17;95;71;18;73
11:00;41;14;80;61;14;63
12:00;48;17;70;58;12;68
13:00;54;18;65;61;13;75
14:00;51;15;70;60;12;70
15:00;62;18;72;58;12;81
16:00;62;17;71;58;13;81
17:00;68;18;73;62;7;81
18:00;82;24;87;71;9;96
19:00;76;21;98;76;26;117
20:00;69;21;103;82;42;133
21:00;44;20;98;79;60;138
22:00;36;17;122;96;55;121
23:00;39;17;139;111;48;115
