CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;60;3;9;34;21;23;94
01:00;53;1;11;29;21;20;83
02:00;46;2;19;30;23;8;58
03:00;38;1;13;38;34;8;51
04:00;34;3;12;30;29;7;44
05:00;29;2;12;32;24;7;41
06:00;27;3;13;29;23;9;40
07:00;23;4;23;31;27;9;37
08:00;15;5;40;27;26;4;22
09:00;12;6;52;22;20;3;16
10:00;13;7;61;19;14;2;17
11:00;17;13;75;9;8;3;22
12:00;13;10;88;8;7;2;16
13:00;8;6;90;11;10;1;10
14:00;11;5;88;13;12;1;13
15:00;9;6;93;14;9;1;11
16:00;9;5;96;10;9;1;11
17:00;8;6;99;10;9;1;10
18:00;12;9;101;12;9;1;13
19:00;11;5;98;10;7;1;13
20:00;15;6;95;14;6;1;17
21:00;27;7;81;18;6;1;29
22:00;32;4;69;20;5;2;35
23:00;72;5;17;27;11;46;143
