CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;38;7;210;109;126;231
01:00;32;11;221;113;110;202
02:00;39;26;122;62;49;114
03:00;39;27;97;52;30;85
04:00;37;24;83;45;33;87
05:00;37;21;81;41;36;92
06:00;36;18;86;42;47;108
07:00;33;15;90;44;58;122
08:00;36;13;94;46;98;186
09:00;43;12;112;51;159;287
10:00;40;;118;54;120;224
11:00;46;12;115;53;111;216
12:00;46;16;91;38;48;119
13:00;56;19;107;46;75;170
14:00;50;24;95;40;32;99
15:00;43;19;81;36;11;60
16:00;43;11;83;39;8;56
17:00;42;4;81;35;7;52
18:00;45;5;95;49;5;53
19:00;50;5;119;60;16;74
20:00;50;5;143;71;52;129
21:00;46;7;164;80;62;140
22:00;47;7;184;92;116;225
23:00;50;4;209;107;171;311
