CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;58;6;52;22;78;176
01:00;43;5;35;20;60;135
02:00;20;3;40;19;38;78
03:00;19;3;37;18;43;84
04:00;20;3;28;16;36;76
05:00;21;3;32;15;53;102
06:00;22;3;29;15;83;150
07:00;27;4;34;16;140;242
08:00;43;8;51;26;233;399
09:00;57;7;57;23;255;446
10:00;41;5;39;17;104;200
11:00;38;7;31;15;41;101
12:00;37;20;23;12;17;62
13:00;19;43;20;10;4;26
14:00;20;50;23;12;3;26
15:00;25;57;28;9;3;31
16:00;25;62;24;8;3;29
17:00;32;65;18;7;3;38
18:00;60;40;27;6;10;75
19:00;114;8;50;12;123;302
20:00;109;10;74;22;180;385
21:00;89;12;78;27;185;372
22:00;76;10;65;29;140;290
23:00;68;8;52;25;130;268
