CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;54;3;2;86;51;94;197
01:00;46;3;2;87;57;99;198
02:00;57;1;10;39;29;15;79
03:00;49;2;7;42;30;12;66
04:00;41;2;9;48;29;13;60
05:00;36;2;9;45;34;17;61
06:00;21;1;22;39;37;5;29
07:00;32;1;18;46;27;11;48
08:00;28;2;27;31;26;10;42
09:00;21;1;41;20;12;6;29
10:00;28;1;36;24;10;8;40
11:00;26;1;44;26;13;7;35
12:00;14;1;62;21;13;4;19
13:00;13;1;67;25;14;3;18
14:00;18;2;68;30;16;5;24
15:00;24;;64;34;12;3;27
16:00;20;2;65;27;14;2;23
17:00;12;6;70;27;14;1;14
18:00;10;7;79;23;17;1;11
19:00;18;19;71;28;16;1;20
20:00;17;6;71;27;15;1;19
21:00;26;7;60;37;18;1;28
22:00;74;6;6;52;37;55;156
23:00;70;4;2;65;48;86;200
