CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;29;19;25;22;6;37
01:00;9;8;20;14;2;13
02:00;8;7;22;23;1;11
03:00;10;7;21;17;1;12
04:00;8;7;25;13;1;11
05:00;8;7;28;21;1;10
06:00;10;6;27;23;2;14
07:00;13;5;27;16;3;18
08:00;13;7;30;17;4;19
09:00;13;7;31;13;4;19
10:00;15;8;31;13;5;23
11:00;15;10;32;;6;25
12:00;16;13;33;;7;26
13:00;18;13;34;;7;29
14:00;21;16;33;;8;33
15:00;22;14;33;;8;35
16:00;22;12;33;;6;32
17:00;26;11;33;;7;37
18:00;25;;34;;8;37
19:00;;;32;;;
20:00;29;13;;;8;41
21:00;31;17;26;;9;46
22:00;31;19;25;;9;44
23:00;32;21;24;20;9;45
