CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;23;2;47;33;1;25
01:00;15;1;40;26;1;17
02:00;37;1;61;49;116;215
03:00;34;1;57;48;118;215
04:00;30;1;49;40;137;240
05:00;30;1;53;37;134;235
06:00;33;2;59;33;197;334
07:00;51;3;73;39;340;570
08:00;67;3;89;48;373;638
09:00;66;2;77;50;167;321
10:00;71;2;82;43;62;165
11:00;55;;63;35;24;92
12:00;28;1;;25;4;34
13:00;10;1;27;18;1;11
14:00;7;2;20;15;0;7
15:00;7;2;19;17;0;7
16:00;8;2;22;16;0;8
17:00;7;3;26;15;0;7
18:00;9;3;30;12;0;9
19:00;13;2;36;16;0;14
20:00;32;2;47;17;1;34
21:00;30;2;50;28;1;31
22:00;18;2;41;23;0;19
23:00;26;2;47;28;1;28
