CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;34;4;239;193;274;453
01:00;27;3;55;46;32;76
02:00;29;3;43;28;9;43
03:00;26;4;35;30;7;37
04:00;23;;32;26;13;44
05:00;22;3;34;24;12;40
06:00;21;3;33;26;14;43
07:00;20;2;31;25;21;52
08:00;20;2;35;30;35;74
09:00;23;2;48;36;60;115
10:00;27;3;62;46;76;144
11:00;33;4;76;51;71;141
12:00;33;3;73;48;50;109
13:00;35;4;66;53;27;77
14:00;35;3;60;48;24;71
15:00;31;2;53;39;9;46
16:00;40;3;51;36;7;50
17:00;77;3;74;45;141;283
18:00;102;4;138;80;456;781
19:00;64;3;89;63;47;136
20:00;85;3;152;108;397;677
21:00;64;5;217;174;369;626
22:00;53;5;234;187;326;552
23:00;39;6;234;191;252;423
