CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;50;43;144;111;14;72
01:00;;39;238;165;;
02:00;;39;216;168;;
03:00;;44;201;174;;
04:00;;38;206;174;;
05:00;;33;215;173;;
06:00;;33;218;173;;
07:00;;36;224;;;
08:00;;33;235;;;
09:00;;;250;;;
10:00;;35;289;;;
11:00;;33;253;;;
12:00;;32;177;;;
13:00;;30;149;111;;
14:00;;27;174;140;;
15:00;86;29;173;136;35;140
16:00;63;27;133;99;19;91
17:00;56;17;83;63;23;91
18:00;62;19;83;66;33;114
19:00;59;24;104;83;28;101
20:00;63;26;103;77;39;122
21:00;59;26;108;87;28;102
22:00;55;38;133;108;20;85
23:00;52;41;139;110;16;76
