CZAS;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5
00:00;39;284;41
01:00;9;50;40
02:00;9;53;42
03:00;11;66;52
04:00;12;76;68
05:00;12;83;67
06:00;14;83;67
07:00;12;86;59
08:00;14;113;87
09:00;17;145;109
10:00;15;131;101
11:00;17;131;103
12:00;21;109;85
13:00;20;103;79
14:00;21;111;84
15:00;21;109;83
16:00;21;127;105
17:00;39;151;118
18:00;56;157;124
19:00;42;163;133
20:00;47;213;135
21:00;48;190;143
22:00;41;191;155
23:00;38;248;48
