CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Ozon 8h;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;42.3294;2.29215;32.1614;51.3891;14.8763;12.2;11.3463;59.5
01:00;15.3587;1.93619;36.251;45.7759;16.1423;6.7;1.5061;17.7
02:00;26.4754;2.26377;10.3865;10.4733;11.0087;10.95;3.80751;32.3
03:00;20.4542;1.95524;10.1147;9.21523;16.7891;15.2;3.10711;25.2
04:00;20.1301;2.24135;9.92383;8.89876;20.45;17.4;2.68659;24.2
05:00;20.7725;2.17897;13.2522;9.09807;14.1649;13.99;2.45486;24.6
06:00;28.4357;2.24085;6.94325;8.75398;19.2003;14.8;15.167;51.5
07:00;22.7711;1.84696;25.4537;11.0621;14.6691;13.1;2.23283;26.1
08:00;21.6605;1.82198;36.9597;15.0234;13.1663;6;2.50855;25.5
09:00;20.2284;2.10347;40.3553;19.1736;15.2009;6;3.83765;26
10:00;15.2711;1.94625;52.89;24.4866;14.7851;6;2.51409;19.1
11:00;17.2574;1.95622;49.8405;29.4523;18.7784;6;2.95193;21.9
12:00;12.3702;2.08025;62.3198;36.0018;11.6236;6;3.14487;17.1
13:00;10.2888;2.01066;69.4298;43.024;16.3612;6;2.59376;14.3
14:00;8.52348;2.14622;79.0657;52.0393;14.5314;6;1.8705;11.4
15:00;11.6385;2.06825;71.8655;57.8408;23.7708;13.5;2.37415;15.2
16:00;9.5278;2.37768;77.9097;62.9595;12.0363;9.2;1.66094;12.1
17:00;7.84224;2.01142;81.1565;68.0597;11.7339;6;1.21721;9.6
18:00;11.6039;1.85732;75.8327;70.9275;11.6847;6;1.21513;13.4
19:00;19.664;1.98988;63.8108;72.6738;12.5861;6;1.57919;22.1
20:00;30.2812;1.90564;49.1245;71.0244;20.8675;11.7;1.4628;32.6
21:00;36.4527;1.71499;34.0657;66.6039;19.5133;14.4;1.68415;39.1
22:00;29.3917;1.69877;37.8152;61.4476;16.1031;11.2;1.52758;31.7
23:00;24.8999;1.90633;37.1457;57.1076;15.6641;15.415;1.44514;27
