CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;9;95;15;10;1;11
01:00;11;82;16;8;1;13
02:00;8;59;25;15;1;11
03:00;8;53;24;14;1;10
04:00;7;47;27;17;2;10
05:00;12;38;27;17;2;15
06:00;14;29;34;20;3;18
07:00;22;22;36;20;7;33
08:00;24;26;45;24;11;40
09:00;25;40;45;24;9;38
10:00;31;57;45;19;7;41
11:00;30;74;47;17;5;38
12:00;24;111;48;17;2;28
13:00;15;124;45;20;2;18
14:00;15;134;42;22;1;17
15:00;13;137;47;26;1;15
16:00;11;125;46;17;1;13
17:00;15;108;46;18;1;17
18:00;33;75;48;24;7;44
19:00;50;42;45;23;11;67
20:00;29;77;31;19;5;36
21:00;11;105;19;13;1;13
22:00;22;75;25;15;2;26
23:00;22;66;23;12;3;27
