CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;4;44;14;9;0;5
01:00;4;41;13;11;0;5
02:00;;1;15;11;;
03:00;;4;14;11;;
04:00;;14;15;10;;
05:00;;6;18;11;;
06:00;;5;14;11;;
07:00;;4;17;9;;
08:00;;4;12;6;;
09:00;;12;10;6;;
10:00;;22;8;4;;
11:00;;30;4;3;;
12:00;;30;5;3;;
13:00;;26;4;3;;
14:00;;28;13;6;;
15:00;;30;14;6;;
16:00;;31;10;5;;
17:00;;29;5;4;;
18:00;;34;5;4;;
19:00;;39;8;5;;
20:00;;36;6;4;;
21:00;;38;12;10;;
22:00;;41;19;8;;
23:00;;36;17;7;;
