CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;22;3;33;18;8;5;29
01:00;12;3;60;13;7;2;15
02:00;12;1;53;23;14;1;14
03:00;10;2;50;21;14;1;12
04:00;9;1;45;21;14;1;10
05:00;9;3;42;18;5;1;10
06:00;22;4;31;27;17;2;25
07:00;24;3;32;26;15;4;30
08:00;18;3;38;27;13;4;23
09:00;19;3;33;22;14;2;21
10:00;26;2;24;26;14;6;33
11:00;20;1;29;26;14;6;29
12:00;21;3;31;27;14;10;36
13:00;40;3;18;27;14;19;67
14:00;30;3;28;36;16;16;53
15:00;30;3;25;28;15;12;49
16:00;33;3;17;24;20;16;58
17:00;35;6;15;35;19;18;62
18:00;26;4;26;29;12;12;44
19:00;28;3;33;25;6;11;43
20:00;30;3;32;21;3;11;46
21:00;30;3;29;11;7;10;45
22:00;25;2;29;18;9;7;35
23:00;27;3;26;16;9;7;38
