CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;59;1;13;18;16;84
01:00;60;1;3;16;39;119
02:00;58;2;7;18;23;94
03:00;48;1;10;13;15;71
04:00;51;1;5;11;20;81
05:00;44;1;2;8;33;96
06:00;38;1;3;6;36;92
07:00;38;1;13;19;23;73
08:00;35;1;35;14;12;53
09:00;18;2;74;10;3;23
10:00;14;4;93;9;2;18
11:00;12;2;102;7;2;16
12:00;13;1;105;14;2;15
13:00;13;1;111;19;1;15
14:00;14;1;114;9;2;16
15:00;13;2;102;5;2;17
16:00;13;2;105;4;2;16
17:00;13;1;113;8;1;15
18:00;14;1;117;12;2;17
19:00;16;2;121;20;1;18
20:00;18;1;99;30;2;20
21:00;12;1;75;16;2;14
22:00;13;1;75;9;1;15
23:00;15;1;70;17;2;18
