CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;24;3;23;17;5;30
01:00;20;3;13;9;2;24
02:00;11;1;37;25;0;12
03:00;8;1;33;24;0;9
04:00;8;1;31;24;0;9
05:00;13;1;30;24;1;14
06:00;12;1;29;22;1;13
07:00;22;1;29;27;2;24
08:00;41;1;38;27;8;53
09:00;40;2;45;24;10;55
10:00;36;;48;24;9;50
11:00;29;1;41;31;5;37
12:00;16;2;34;24;1;18
13:00;23;3;38;16;2;27
14:00;21;3;30;15;2;24
15:00;27;4;38;14;2;30
16:00;36;3;38;18;4;42
17:00;38;3;38;15;4;45
18:00;48;6;38;18;6;57
19:00;67;19;48;31;10;83
20:00;50;15;43;28;9;63
21:00;50;8;48;34;10;66
22:00;43;3;39;33;11;61
23:00;28;3;34;19;7;38
