CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Ozon 8h;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;48.0216;2.587;1.7386;45.9;30.3338;29.874;97.4905;196.2
01:00;42.5478;2.24069;1.94369;31.7923;29.796;28.8;83.5791;169.6
02:00;38.3371;2.20374;1.88154;18.3733;28.0374;19.296;58.4483;127.1
03:00;34.3198;2.14029;1.7364;6.08421;29.2085;20.016;74.228;147.1
04:00;37.3906;2.29977;1.56334;2.07563;29.5149;18.72;79.5406;158.2
05:00;36.7317;2.94117;1;1.8339;30.7863;23.328;95.7703;182.3
06:00;34.6434;3.16654;1.36061;1.68567;40.1583;23.904;119.462;216.2
07:00;40.943;3.65668;1.89318;1.63967;52.4942;35.712;161.381;286.2
08:00;59.3593;4.67938;2.69491;1.75921;59.1679;44.496;222.887;398.2
09:00;80.6218;2.84607;5.65189;2.22273;50.4198;32.4;110.732;248.9
10:00;64.6993;2.06596;44.0634;7.49547;36.0075;27.216;26.8147;105.4
11:00;35.8193;1.78275;89.0187;18.4058;35.7098;20.592;4.94505;43.3
12:00;17.8345;1.69099;126.36;34.0053;33.6881;24.768;2.31665;21.3
13:00;13.2204;1.70849;140.919;51.4952;28.8464;22.7112;1.5203;15.5
14:00;17.6719;1.57331;136.7;68.4126;30.6392;24.1368;2.40048;21.4
15:00;12.3208;1.57941;145.784;86.399;27.3568;21.6024;2.08665;15.5
16:00;6.7582;1.38431;148.812;104.664;33.0888;26.1168;0.8923;8.2
17:00;8.94965;1.77021;152.681;123.042;28.8183;22.7112;0.869439;10.3
18:00;13.2337;1.3958;152.894;136.646;35.0871;23.904;0.734347;14.3
19:00;24.4194;1.40577;126.019;141.271;37.4595;22.752;0.932481;25.8
20:00;101.629;2.3106;32.7872;129.575;57.4944;30.096;53.8489;183.4
21:00;120.343;2.38484;3.58044;112.407;64.9319;43.488;64.8437;218.8
22:00;99.1322;2.67667;4.4462;95.8755;58.6267;46.3128;67.8607;202.3
23:00;86.1121;2.52772;2.9113;78.0164;57.0311;45.0456;61.1934;179.1
00:00;78.8725;2.39215;2.55463;59.7342;52.024;41.0856;77.9531;197.5
01:00;67.5618;2.3493;2.37411;40.9459;44.347;34.9872;77.4688;185.4
