CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;38;7;4;184;167;255;427
01:00;32;7;3;192;178;240;399
02:00;24;5;3;162;132;148;250
03:00;18;5;3;150;134;120;201
04:00;14;4;3;133;114;111;182
05:00;15;4;2;114;96;112;186
06:00;14;4;2;110;92;112;185
07:00;12;4;2;112;85;104;170
08:00;15;4;2;113;83;117;194
09:00;25;5;3;124;113;152;256
10:00;33;4;6;117;113;49;107
11:00;32;3;13;92;89;23;67
12:00;29;3;22;78;80;12;47
13:00;17;3;35;58;49;4;24
14:00;13;3;43;49;34;2;16
15:00;14;3;45;42;26;1;16
16:00;20;3;37;38;24;1;21
17:00;33;3;25;48;38;2;36
18:00;60;5;5;74;52;116;237
19:00;77;8;3;108;78;326;575
20:00;76;8;3;134;92;360;625
21:00;73;8;4;166;120;361;624
22:00;60;7;5;177;154;312;536
23:00;52;8;3;176;147;371;619
