CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;66;3;14;89;96;212
01:00;48;2;11;75;70;155
02:00;48;1;9;59;20;77
03:00;43;2;14;62;8;55
04:00;38;3;21;55;4;44
05:00;26;2;32;45;3;29
06:00;28;3;41;34;6;37
07:00;33;4;45;24;7;44
08:00;34;3;45;18;10;48
09:00;22;4;64;13;6;31
10:00;21;3;64;15;6;29
11:00;16;2;70;14;4;21
12:00;16;2;70;13;4;22
13:00;22;1;69;18;4;27
14:00;16;2;77;13;2;20
15:00;18;2;75;13;3;23
16:00;23;2;72;17;5;30
17:00;25;3;76;16;4;31
18:00;25;;78;17;4;30
19:00;26;9;76;17;4;32
20:00;41;11;57;21;8;52
21:00;88;10;15;48;58;175
22:00;88;10;15;86;88;223
23:00;75;5;17;103;103;232
