CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;44;3;1;34;26;53;126
01:00;34;2;1;28;25;22;69
02:00;31;2;3;24;22;25;70
03:00;27;1;7;20;19;3;31
04:00;25;1;8;18;17;2;28
05:00;28;2;2;;23;7;39
06:00;26;2;7;30;17;18;54
07:00;21;2;16;26;14;29;66
08:00;24;4;13;20;9;43;91
09:00;13;8;38;18;9;3;19
10:00;17;7;38;20;13;6;27
11:00;16;5;43;19;15;5;24
12:00;10;1;57;14;12;2;13
13:00;12;1;63;16;14;2;17
14:00;8;2;77;13;13;1;10
15:00;9;2;77;8;8;1;12
16:00;10;2;81;13;7;2;14
17:00;10;2;83;13;8;1;13
18:00;11;2;81;11;8;2;15
19:00;14;1;78;11;8;2;18
20:00;21;1;75;10;6;2;24
21:00;24;1;72;16;4;1;25
22:00;35;2;42;22;9;27;76
23:00;54;2;1;33;20;73;167
