CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;27;41;118;102;5;34
01:00;18;12;67;54;1;21
02:00;19;12;71;60;2;22
03:00;29;12;98;82;32;79
04:00;28;12;100;88;63;124
05:00;21;11;114;94;82;147
06:00;27;13;97;83;96;174
07:00;23;13;84;67;15;47
08:00;25;15;78;64;21;58
09:00;21;17;80;68;10;38
10:00;26;19;90;78;15;49
11:00;30;23;93;73;14;51
12:00;27;36;76;56;10;42
13:00;20;24;57;43;4;26
14:00;15;11;39;34;2;18
15:00;17;8;45;32;2;19
16:00;19;8;56;41;1;21
17:00;43;9;75;54;41;106
18:00;84;;164;110;298;541
19:00;88;10;241;178;366;648
20:00;81;15;279;212;374;653
21:00;63;25;342;271;306;532
22:00;53;37;298;241;174;319
23:00;36;42;167;140;14;58
