CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;58;50;10;195;106;18;85
01:00;57;12;5;151;125;151;288
02:00;48;13;4;152;119;112;220
03:00;39;13;4;149;116;77;156
04:00;34;10;4;142;114;68;137
05:00;34;13;3;131;101;76;150
06:00;33;14;3;127;94;100;186
07:00;45;14;5;143;107;205;358
08:00;64;16;4;159;112;318;550
09:00;69;21;4;151;108;241;437
10:00;47;18;18;112;88;38;105
11:00;53;17;23;115;83;34;105
12:00;51;14;37;105;70;21;83
13:00;37;12;60;86;54;9;51
14:00;27;8;72;69;41;7;38
15:00;33;14;72;62;37;9;47
16:00;31;15;78;59;41;6;40
17:00;47;19;63;74;53;9;61
18:00;62;20;47;125;98;12;80
19:00;62;21;36;125;;15;84
20:00;70;26;23;146;105;24;107
21:00;74;39;13;180;111;34;126
22:00;70;44;12;180;122;30;116
23:00;68;44;7;188;174;54;151
