CZAS;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5
00:00;4;18;56;26
01:00;3;35;49;27
02:00;3;13;52;33
03:00;3;4;42;28
04:00;3;4;33;23
05:00;2;2;43;26
06:00;1;2;56;25
07:00;2;4;89;41
08:00;8;5;100;46
09:00;5;21;60;30
10:00;2;55;29;14
11:00;1;84;19;9
12:00;1;93;16;7
13:00;1;97;15;6
14:00;4;102;17;8
15:00;4;104;16;8
16:00;2;107;21;7
17:00;2;106;24;11
18:00;3;101;23;11
19:00;2;97;25;14
20:00;4;76;35;14
21:00;;53;53;24
22:00;11;10;82;33
23:00;7;3;79;36
