CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;59;3;4;54;40;143;278
01:00;50;3;3;85;29;82;175
02:00;28;8;3;74;56;119;209
03:00;24;8;5;48;43;70;131
04:00;22;8;11;30;28;4;28
05:00;25;6;14;28;24;19;54
06:00;33;4;3;41;28;86;164
07:00;37;3;6;38;23;67;139
08:00;58;5;4;;32;228;406
09:00;45;4;5;;25;82;171
10:00;24;2;36;24;17;16;48
11:00;28;;38;15;12;12;46
12:00;17;2;58;12;9;5;24
13:00;14;4;66;12;7;4;20
14:00;12;3;66;13;7;3;17
15:00;20;2;61;15;9;5;28
16:00;26;1;57;14;11;6;35
17:00;46;1;37;20;14;18;73
18:00;85;1;7;37;22;78;203
19:00;94;3;4;51;24;130;293
20:00;78;3;10;39;19;76;194
21:00;65;4;14;36;20;68;168
22:00;75;3;4;45;29;99;226
23:00;69;3;4;50;39;168;324
