CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;13;94;32;15;0;14
01:00;7;97;35;13;1;9
02:00;51;3;59;36;59;141
03:00;44;3;51;34;38;101
04:00;37;6;45;31;34;89
05:00;20;20;39;28;8;33
06:00;26;11;40;23;29;69
07:00;16;27;40;26;9;29
08:00;12;37;34;24;4;17
09:00;14;50;30;24;4;20
10:00;14;71;36;22;3;19
11:00;15;94;33;16;3;19
12:00;13;116;34;22;2;17
13:00;8;119;41;18;1;10
14:00;8;122;45;18;1;10
15:00;5;149;44;23;0;6
16:00;6;150;39;23;0;7
17:00;2;121;44;19;0;3
18:00;3;109;43;16;0;4
19:00;5;105;35;18;0;6
20:00;7;97;40;17;0;8
21:00;21;73;42;23;2;24
22:00;33;65;50;21;7;44
23:00;9;104;34;12;0;11
