CZAS;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5
00:00;3;3;20;18
01:00;5;8;16;13
02:00;;43;15;11
03:00;;36;19;10
04:00;;25;20;9
05:00;;24;17;10
06:00;;18;13;11
07:00;;7;22;11
08:00;;3;20;12
09:00;;7;21;13
10:00;;23;12;8
11:00;;27;14;8
12:00;;;15;7
13:00;;43;18;6
14:00;;51;15;5
15:00;3;56;11;5
16:00;4;59;10;6
17:00;3;55;;5
18:00;4;41;;3
19:00;4;18;;3
20:00;3;2;;14
21:00;2;3;37;24
22:00;2;3;46;35
23:00;3;2;37;31
