CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Ozon 8h;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
23:00;20.9199;9.02667;21.3667;17.7083;51.3791;49;4.52211;27.7
00:00;19.9321;7.99976;20.7111;17.5236;44.4722;41.7;4.22422;26.3
01:00;17.3934;8.08624;21.0752;18.3563;56.6027;33.3;2.56674;21.4
02:00;18.7302;7.4209;15.0212;18.149;54.4972;43.3;3.14695;23.4
03:00;19.6309;7.24286;11.6802;17.3593;55.0981;40.9;4.13485;25.8
04:00;18.9888;6.60867;9.98571;16.7281;62.4516;41.5;2.88023;23.4
05:00;22.6174;5.54219;5.30741;15.4501;53.149;38.6;5.95754;31.7
06:00;23.6015;4.97484;2.22397;13.4214;53.5168;42.3;50.1585;99.9
07:00;38.7653;6.19076;2.30937;11.0393;58.9084;39;174.656;304.3
08:00;43.6791;5.10147;4.7513;9.0443;44.5677;23.9;100.927;197.1
09:00;33.2497;5.00254;23.1062;9.29817;30.2304;11.7;26.0976;72.9
10:00;21.5212;3.74854;36.6177;11.9977;25.2165;13.6;9.86412;36.5
11:00;28.7565;5.12691;31.9655;14.5334;26.475;13.2;14.1368;50.2
12:00;27.177;11.0108;40.1637;18.3056;46.2583;14.9;14.522;49.2
13:00;17.0534;5.27861;55.1063;24.5305;31.0086;9.5;6.15222;26.5
14:00;27.6141;11.0738;47.1876;30.151;33.1378;12.9;7.99223;39.8
15:00;26.99;8.32511;47.871;35.8462;35.0642;14.7;8.68224;40.2
16:00;43.5012;9.78396;33.1104;39.391;36.7557;15;16.9544;69.3
17:00;55.465;7.74981;11.5065;37.9411;36.2494;18.2;11.3435;72.7
18:00;80.0751;8.62482;3.79517;33.8383;74.5138;38.3;200.876;385.5
19:00;86.4707;9.30736;4.53078;30.4089;99.5727;57.4;306.731;552.7
20:00;91.4276;10.6865;5.63086;26.0923;128.412;85.5;427.687;741.5
21:00;81.9404;11.0734;8.56805;20.275;185.676;142.3;380.21;659.8
22:00;73.8999;28.0166;5.98012;15.1241;177.9;140.6;427.976;724.5
23:00;61.7172;10.9114;6.61396;9.96698;194.788;147.8;412.426;688.5
00:00;45.4148;9.00085;6.91457;6.6925;191.86;157.9;296.094;495.5
