CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;24;3;37;28;;4;30
01:00;21;3;35;35;33;2;24
02:00;11;4;65;19;9;1;12
03:00;13;5;55;29;13;1;14
04:00;13;6;57;42;12;1;15
05:00;13;7;60;47;12;2;16
06:00;20;7;56;38;13;4;26
07:00;30;7;47;32;15;9;44
08:00;34;8;47;33;14;10;48
09:00;28;7;53;22;10;9;42
10:00;21;6;59;24;9;7;31
11:00;20;7;59;31;14;6;29
12:00;16;6;65;22;11;5;24
13:00;13;4;70;17;9;5;21
14:00;15;4;71;22;13;4;21
15:00;15;4;72;21;11;5;22
16:00;22;3;64;17;11;6;33
17:00;24;;65;18;14;8;36
18:00;34;3;55;19;16;10;50
19:00;31;6;59;18;11;7;41
20:00;38;3;47;31;16;8;50
21:00;39;2;38;23;18;9;53
22:00;51;3;21;42;30;14;73
23:00;30;3;36;37;29;5;37
