CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;25;2;62;46;4;31
01:00;20;;69;57;1;21
02:00;19;6;69;57;1;21
03:00;17;5;74;63;1;18
04:00;16;6;63;52;1;18
05:00;17;4;68;56;1;20
06:00;17;6;65;56;0;18
07:00;17;3;71;51;1;19
08:00;17;2;61;49;2;21
09:00;17;4;64;50;4;23
10:00;16;3;61;50;4;22
11:00;15;2;55;45;3;19
12:00;16;2;51;44;3;20
13:00;19;3;55;42;3;23
14:00;25;4;71;42;4;31
15:00;27;4;68;47;3;31
16:00;21;6;53;38;1;23
17:00;20;5;60;42;0;21
18:00;23;2;65;49;1;25
19:00;26;3;75;54;2;29
20:00;30;3;70;56;5;38
21:00;46;4;104;80;106;207
22:00;41;4;88;68;75;157
23:00;28;5;63;48;4;35
