CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;22;12;64;56;2;25
01:00;7;4;21;15;0;7
02:00;6;5;16;11;0;7
03:00;7;3;14;10;0;8
04:00;8;3;13;10;0;8
05:00;5;4;9;10;0;6
06:00;6;3;15;10;0;6
07:00;6;3;14;10;0;6
08:00;6;3;14;9;0;6
09:00;6;3;11;7;0;6
10:00;5;3;10;7;0;6
11:00;5;2;10;10;0;7
12:00;5;2;15;10;0;6
13:00;6;3;15;12;1;7
14:00;6;7;26;14;0;7
15:00;7;9;26;14;0;7
16:00;12;12;32;18;1;13
17:00;20;7;36;29;1;22
18:00;16;3;50;37;1;18
19:00;25;;62;52;2;28
20:00;29;7;67;58;2;32
21:00;39;10;86;72;5;46
22:00;29;10;75;61;3;34
23:00;27;11;71;58;3;31
