CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;18;17;29;18;2;22
01:00;16;17;24;14;2;19
02:00;25;13;43;24;7;35
03:00;24;12;37;22;6;32
04:00;21;12;38;20;5;27
05:00;19;11;37;18;5;25
06:00;19;11;34;18;5;25
07:00;21;9;32;16;10;34
08:00;24;8;33;17;13;43
09:00;;7;28;13;;
10:00;22;;26;13;17;49
11:00;24;10;27;13;15;48
12:00;20;14;22;10;14;42
13:00;18;22;18;8;6;27
14:00;21;22;14;6;5;30
15:00;20;22;17;5;6;30
16:00;19;24;13;8;6;28
17:00;19;26;15;8;5;26
18:00;24;22;18;7;5;32
19:00;31;15;24;11;7;42
20:00;23;20;29;12;3;28
21:00;16;26;22;11;1;18
22:00;18;22;22;15;1;20
23:00;22;17;28;18;2;25
