CZAS;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5
00:00;3;15;23;21
01:00;1;3;36;31
02:00;;59;17;10
03:00;2;57;18;9
04:00;2;52;14;8
05:00;2;40;19;9
06:00;1;41;21;11
07:00;2;41;24;11
08:00;2;53;17;10
09:00;2;58;19;8
10:00;3;60;19;13
11:00;4;55;19;12
12:00;2;51;18;14
13:00;3;63;19;17
14:00;3;76;24;17
15:00;4;79;25;15
16:00;4;88;24;11
17:00;4;91;20;11
18:00;5;87;19;11
19:00;4;86;19;8
20:00;4;81;17;5
21:00;6;70;28;3
22:00;2;68;22;3
23:00;2;55;29;12
