CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;33;9;135;68;156;271
01:00;32;11;221;113;110;202
02:00;24;19;213;112;99;176
03:00;22;19;175;91;62;117
04:00;23;19;165;89;57;110
05:00;;;154;86;;
06:00;19;16;152;81;79;139
07:00;17;12;140;70;104;174
08:00;18;;116;61;87;149
09:00;26;8;103;55;87;157
10:00;30;8;96;52;37;86
11:00;41;7;104;53;32;89
12:00;30;12;65;34;13;48
13:00;28;16;58;28;8;39
14:00;23;11;52;25;5;30
15:00;27;9;50;25;6;35
16:00;44;9;55;25;9;57
17:00;65;5;69;29;60;156
18:00;74;3;116;53;219;406
19:00;65;9;128;62;116;241
20:00;56;8;112;55;47;127
21:00;55;8;158;75;141;268
22:00;46;7;153;75;145;267
23:00;39;7;143;71;160;283
