CZAS;Pył zawieszony PM10
00:00;17.96
01:00;57.3143
02:00;56.9243
03:00;46.2915
04:00;42.4426
05:00;36.5866
06:00;28.8984
07:00;34.2373
08:00;35.8918
09:00;28.01
10:00;30.9722
11:00;
12:00;24.61
13:00;22.6327
14:00;24.8445
15:00;24.2868
16:00;30.3896
17:00;36.8468
18:00;34.2216
19:00;28.7324
20:00;32.9214
21:00;30.8739
22:00;28.1116
23:00;18.4303
