CZAS;Pył zawieszony PM10
23:00;32.2239
00:00;31.95
01:00;3.74427
02:00;3
03:00;3
04:00;3
05:00;3
06:00;3
07:00;3
08:00;5.71303
09:00;5.23716
10:00;13.8294
11:00;14.7406
12:00;12.4857
13:00;9.15103
14:00;10.2965
15:00;9.74853
16:00;9.72025
17:00;11.0742
18:00;15.9739
19:00;21.4866
20:00;26.0386
21:00;21.2551
22:00;23.553
23:00;33.8414
00:00;39.77
