CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;71;39;51;1070;148
01:00;50;48;19;770;79
02:00;51;50;41;730;112
03:00;40;40;20;570;70
04:00;37;32;24;570;73
05:00;35;41;42;550;99
06:00;43;42;90;720;180
07:00;73;66;251;1720;456
08:00;84;116;219;1970;419
09:00;95;132;255;1750;485
10:00;82;148;163;1160;331
11:00;71;126;108;1110;236
12:00;82;96;115;1030;256
13:00;85;92;75;930;199
14:00;88;53;70;950;195
15:00;95;64;91;1350;234
16:00;97;70;97;1330;244
17:00;103;67;117;1680;282
18:00;93;101;142;1670;309
19:00;96;93;132;2190;298
20:00;101;71;150;2100;330
21:00;92;54;102;1530;248
22:00;84;58;110;1650;250
23:00;75;56;74;1270;188
