CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;65;70;36;820;119
01:00;54;63;31;780;101
02:00;33;71;20;630;63
03:00;32;59;23;580;68
04:00;29;64;30;610;74
05:00;30;63;36;590;85
06:00;37;92;99;880;189
07:00;47;104;142;1220;266
08:00;52;118;123;1230;240
09:00;54;127;114;1260;227
10:00;60;116;87;1010;193
11:00;83;112;94;1210;227
12:00;102;117;77;1200;219
13:00;113;113;54;1040;194
14:00;116;84;59;990;206
15:00;146;87;106;1250;308
16:00;111;72;83;1220;237
17:00;110;72;102;1410;266
18:00;106;79;91;1250;243
19:00;98;73;81;1420;222
20:00;96;74;82;1220;220
21:00;79;76;83;1070;205
22:00;84;83;75;1250;199
23:00;79;132;55;960;164
