CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;27;53;59;117
01:00;26;43;52;105
02:00;32;9;31;79
03:00;23;6;24;60
04:00;24;5;25;61
05:00;23;5;24;60
06:00;33;5;40;93
07:00;36;5;45;104
08:00;43;9;75;156
09:00;41;16;64;138
10:00;47;14;77;164
11:00;44;15;66;144
12:00;52;19;94;195
13:00;56;22;112;227
14:00;48;27;94;190
15:00;51;20;110;217
16:00;58;21;137;266
17:00;55;25;146;276
18:00;52;38;130;250
19:00;55;33;184;335
20:00;55;33;179;328
21:00;48;40;139;260
22:00;42;45;134;246
23:00;34;46;100;187
