CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;41;71;1150;150
01:00;41;72;1030;151
02:00;41;51;700;119
03:00;36;36;420;91
04:00;40;45;480;109
05:00;35;35;390;89
06:00;47;84;580;174
07:00;53;137;960;262
08:00;61;194;1480;357
09:00;65;187;1490;351
10:00;57;130;1010;255
11:00;55;127;1060;249
12:00;46;100;940;197
13:00;48;105;900;208
14:00;50;134;1230;254
15:00;52;115;1160;227
16:00;53;119;1170;235
17:00;58;129;1190;253
18:00;58;152;1220;290
19:00;52;127;1290;245
20:00;53;107;1330;215
21:00;52;101;1370;206
22:00;50;105;1350;210
23:00;50;114;1350;224
