CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;38.9657;101.67;96.0075;122.278;1388.44;1314.27;225.9
01:00;11.4504;8.10442;7.70117;6.76879;301.04;511.475;21.9
02:00;11.1714;5.47192;5.12731;4.93292;280.55;435.003;18.7
03:00;10.4641;8.84975;8.35375;6.801;241.72;379.749;20.9
04:00;19.181;13.6717;12.9047;16.7025;272.61;350.426;44.7
05:00;24.0724;12.7107;11.6091;33.3074;306.71;315.352;75
06:00;43.5696;15.0551;13.6518;59.2121;417.9;314.031;134.1
07:00;58.3199;26.8678;25.1814;131.22;758.12;363.264;258.8
08:00;62.282;31.1599;29.0627;166.189;864.23;430.36;316.3
09:00;61.0077;44.5651;34.2844;175.973;819.18;495.127;329.9
10:00;55.7023;49.0392;34.381;126.415;676.03;544.563;248.8
11:00;60.1197;54.2685;36.8432;129.165;719.03;604.226;257.5
12:00;59.9013;46.345;34.557;133.732;719.75;660.119;264.2
13:00;58.3417;47.7035;37.0483;114.557;644.69;702.366;233.4
14:00;55.4329;46.8;37.776;106.895;738.8;742.479;218.8
15:00;55.9531;47.3276;41.5541;121.955;790;746.464;242.4
16:00;56.5472;56.7883;48.4503;153.967;977.71;760.649;291.8
17:00;60.809;57.8511;49.5515;160.96;1225.09;811.387;306.8
18:00;59.2759;55.4927;49.3551;178.447;1237.67;881.593;331.9
19:00;55.5142;61.1379;55.6502;164.266;1225.54;944.906;306.6
20:00;51.329;68.8209;62.7535;153.033;1091.92;991.427;285.1
21:00;57.7912;87.3524;82.1712;200.687;1431;1089.72;364.5
22:00;51.1552;99.1824;93.5013;172.673;1479.21;1182.27;315.1
23:00;42.5053;100.178;94.6219;135.844;1435.26;1262.93;250
