CZAS;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;30;24;460
01:00;25;20;380
02:00;26;20;380
03:00;23;19;320
04:00;24;20;290
05:00;24;20;330
06:00;26;20;480
07:00;28;21;1090
08:00;32;23;1130
09:00;37;24;760
10:00;32;22;830
11:00;34;23;750
12:00;31;21;660
13:00;27;19;560
14:00;29;19;570
15:00;27;18;560
16:00;26;17;630
17:00;29;19;750
18:00;29;20;880
19:00;31;22;890
20:00;32;24;840
21:00;36;26;510
22:00;29;22;590
23:00;36;23;510
