CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;12;20;7;320;23
01:00;9;48;5;510;17
02:00;12;31;3;260;15
03:00;14;13;4;260;20
04:00;7;7;3;260;12
05:00;12;6;6;260;21
06:00;14;6;14;310;34
07:00;31;7;34;550;84
08:00;52;13;68;780;157
09:00;43;13;56;760;128
10:00;52;22;67;1020;154
11:00;53;24;67;1140;155
12:00;54;16;75;1140;168
13:00;43;30;56;810;128
14:00;57;45;86;1390;189
15:00;44;34;62;920;139
16:00;47;35;63;1170;144
17:00;41;27;62;1110;136
18:00;44;26;64;1100;141
19:00;38;29;61;1030;132
20:00;38;25;55;1050;121
21:00;31;27;26;660;70
22:00;21;21;18;490;48
23:00;14;23;13;380;33
