CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;42;159;3060;284
01:00;43;176;2690;310
02:00;40;134;2420;244
03:00;37;123;2290;225
04:00;37;163;2460;286
05:00;33;170;2490;292
06:00;33;124;2310;221
07:00;38;126;2150;230
08:00;41;164;2510;292
09:00;59;263;3380;460
10:00;73;308;3800;544
11:00;117;410;4490;745
12:00;110;387;3950;703
13:00;92;207;2110;409
14:00;89;224;2990;431
15:00;115;477;4600;845
16:00;140;656;5770;1145
17:00;105;401;4670;718
18:00;84;307;3820;554
19:00;77;320;3770;567
20:00;66;246;3470;442
21:00;59;247;3510;436
22:00;54;244;3600;427
23:00;47;176;3290;316
