CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;53;119;85;94;1530;197
01:00;48;360;288;216;4580;378
02:00;42;359;285;177;4320;313
03:00;38;347;277;156;4150;275
04:00;38;351;276;163;4090;286
05:00;37;345;268;219;4260;371
06:00;34;345;273;177;3780;305
07:00;35;291;233;152;3710;267
08:00;45;345;266;256;4060;436
09:00;51;372;281;265;4350;457
10:00;57;342;270;209;4180;375
11:00;60;259;192;157;3240;299
12:00;89;269;198;238;3650;452
13:00;110;254;179;305;3160;575
14:00;62;80;50;89;1280;197
15:00;43;43;24;55;920;127
16:00;74;56;28;105;1130;235
17:00;80;69;41;133;1340;283
18:00;88;108;65;173;1780;351
19:00;78;120;81;141;1750;293
20:00;93;122;76;238;1900;457
21:00;86;113;71;213;1940;412
22:00;67;110;76;113;1540;240
23:00;76;129;85;187;1850;361
