CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;46;93;1370;189
01:00;40;61;1040;132
02:00;27;20;930;57
03:00;23;12;780;42
04:00;24;15;850;48
05:00;28;22;640;62
06:00;45;73;710;157
07:00;63;135;1290;269
08:00;71;181;1390;348
09:00;73;221;1560;412
10:00;76;187;1290;361
11:00;71;169;1140;329
12:00;61;129;930;258
13:00;62;162;1040;309
14:00;64;161;1050;309
15:00;68;204;1460;379
16:00;70;206;1500;385
17:00;68;219;1610;404
18:00;67;212;1720;391
19:00;70;234;1870;427
20:00;67;193;1940;362
21:00;62;175;1610;330
22:00;58;181;1660;335
23:00;48;133;1330;252
