CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;78;48;31;124;1220;266
01:00;62;42;28;70;780;169
02:00;56;51;34;59;670;145
03:00;52;51;36;42;570;115
04:00;46;48;35;51;600;123
05:00;43;43;29;63;530;138
06:00;41;43;28;80;660;162
07:00;38;42;27;72;550;147
08:00;41;47;34;80;580;163
09:00;46;49;36;61;580;138
10:00;58;41;27;65;580;156
11:00;62;27;15;48;490;135
12:00;60;24;13;47;550;131
13:00;59;21;10;38;470;116
14:00;65;24;12;38;520;124
15:00;72;23;12;40;510;133
16:00;70;22;12;36;500;125
17:00;74;23;12;42;640;138
18:00;85;25;13;45;640;153
19:00;100;29;13;56;880;185
20:00;120;39;17;102;1390;275
21:00;124;76;30;197;1780;425
22:00;107;71;34;175;1670;374
23:00;85;64;39;101;1190;237
