CZAS;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;262;170;2460
01:00;201;162;1990
02:00;215;173;1930
03:00;216;172;1890
04:00;210;164;1850
05:00;220;164;1860
06:00;229;161;2050
07:00;237;173;2460
08:00;247;177;2690
09:00;254;176;2860
10:00;224;166;2660
11:00;247;181;2950
12:00;258;192;2910
13:00;184;134;2360
14:00;143;105;1800
15:00;163;123;2010
16:00;177;136;2230
17:00;156;126;2050
18:00;158;126;2210
19:00;180;143;2330
20:00;186;149;2090
21:00;214;170;2060
22:00;232;186;2130
23:00;245;188;3040
