CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;35;70;14;660;55
01:00;27;57;6;570;37
02:00;37;115;37;710;94
03:00;32;83;22;630;65
04:00;32;90;26;600;71
05:00;37;63;92;900;178
06:00;53;83;228;1920;399
07:00;57;100;189;1830;346
08:00;51;96;146;1600;275
09:00;62;89;151;1470;292
10:00;56;108;104;1200;215
11:00;66;104;85;1510;195
12:00;74;83;73;1390;185
13:00;77;84;68;1250;180
14:00;83;113;70;1180;190
15:00;83;82;73;1290;193
16:00;81;88;68;1330;185
17:00;65;81;47;1110;137
18:00;88;86;111;1510;257
19:00;88;68;123;1860;276
20:00;74;66;89;1320;210
21:00;68;67;75;1190;182
22:00;58;80;62;1120;152
23:00;48;65;34;800;99
