CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;65;59;790;155
01:00;52;42;640;115
02:00;44;44;690;110
03:00;35;40;650;96
04:00;31;34;570;83
05:00;27;28;550;69
06:00;24;41;550;85
07:00;28;45;600;97
08:00;40;52;510;119
09:00;39;50;500;115
10:00;41;45;500;110
11:00;42;41;490;104
12:00;46;42;520;110
13:00;51;53;540;132
14:00;47;46;560;118
15:00;54;49;640;129
16:00;55;60;680;147
17:00;57;67;630;159
18:00;76;86;790;207
19:00;87;97;840;236
20:00;98;110;880;267
21:00;106;122;1380;292
22:00;99;126;1230;292
23:00;81;116;1080;258
