CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;91;61;47;127;279
01:00;72;51;42;65;166
02:00;54;28;10;42;113
03:00;50;29;10;29;89
04:00;42;30;11;26;76
05:00;46;33;12;29;86
06:00;57;37;12;93;193
07:00;72;42;20;222;409
08:00;87;53;32;295;540
09:00;87;66;41;254;476
10:00;81;62;34;188;368
11:00;90;43;22;151;321
12:00;96;37;17;128;292
13:00;104;32;14;127;298
14:00;;24;12;;
15:00;98;20;10;75;213
16:00;144;22;10;117;324
17:00;148;23;10;137;358
18:00;143;22;10;134;349
19:00;180;29;14;282;610
20:00;191;51;25;424;840
21:00;123;52;31;165;375
22:00;120;62;38;201;427
23:00;97;59;40;128;293
