CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;51;111;73;101;206
01:00;41;115;79;58;131
02:00;26;20;13;16;51
03:00;23;17;11;12;42
04:00;31;26;18;21;64
05:00;44;32;22;54;127
06:00;46;31;23;61;140
07:00;83;38;26;175;352
08:00;95;47;33;247;474
09:00;;53;38;;
10:00;88;50;34;216;420
11:00;85;47;33;182;365
12:00;78;52;36;189;368
13:00;97;49;34;179;372
14:00;94;46;31;191;389
15:00;90;44;30;209;410
16:00;90;76;40;251;476
17:00;96;148;61;250;479
18:00;103;123;58;278;530
19:00;81;86;51;164;334
20:00;88;110;70;236;450
21:00;69;122;79;154;306
22:00;69;116;75;163;319
23:00;56;116;78;115;233
