CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;62.8851;186.688;143.367;147.333;2334.89;1772.29;288
01:00;47.3292;148.242;122.9;92.0407;1852.63;1460.14;188
02:00;41.291;140.331;123.71;26.1122;1310.34;1504.33;81.2
03:00;39.7596;127;;34.0455;1227.76;1551.57;91.8
04:00;29.5968;87.2;;12.6179;839.495;1502.76;48.9
05:00;27.7874;79.0724;77.4992;12.5805;695.151;1402.66;47
06:00;30.7302;72.4271;60.0886;27.2539;659.884;1283.95;72.4
07:00;53.8297;81.3435;63.2532;109.106;963.18;1189.84;220.5
08:00;63.9181;81.5467;59.5315;134.324;1023.46;1071.49;269.2
09:00;52.37;57.1526;39.9651;78.2659;701.238;927.563;172
10:00;53.979;37.704;22.2266;65.0013;512.576;827.843;153.3
11:00;52.8312;32.9655;19.8197;70.7641;516.492;738.935;161
12:00;60.7441;41.3612;23.7878;70.8185;489.16;695.143;168.9
13:00;60.5247;;;57.1514;527.738;674.216;147.9
14:00;66.0601;41.9787;25.1182;71.8161;554.478;661.04;175.8
15:00;79.6903;34.8628;21.6006;71.9436;559.409;610.569;189.6
16:00;89.3817;40.1173;21.5969;100.951;742.405;575.437;243.6
17:00;95.8525;50.9816;26.4071;115.973;825.327;590.948;273.1
18:00;104.939;63.5491;31.0856;163.48;1073.85;661.107;354.7
19:00;114.268;74.0957;37.1895;245.2;1452.99;778.17;488.9
20:00;134.779;130.158;67.3034;406.888;2185.47;990.208;756.5
21:00;110.584;140.114;79.0512;298.449;2118.55;1189.06;566.6
22:00;91.7151;167.483;115.818;203.58;2097.3;1381.91;402.8
23:00;78.0807;177.396;130.722;179.306;2089.91;1573.23;352.1
