CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;51;126;1500;243
01:00;46;107;1240;208
02:00;42;54;690;123
03:00;39;62;750;133
04:00;38;67;700;139
05:00;38;68;650;141
06:00;36;90;740;172
07:00;40;142;990;257
08:00;47;176;1260;316
09:00;50;170;1190;310
10:00;53;121;1060;236
11:00;60;93;900;201
12:00;69;88;840;202
13:00;70;78;740;188
14:00;74;81;830;198
15:00;93;130;1280;291
16:00;79;87;780;212
17:00;;;1060;
18:00;96;133;1110;298
19:00;109;222;1750;448
20:00;99;239;2150;464
21:00;77;161;1600;322
22:00;65;148;1590;290
23:00;54;143;1510;273
