CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;41;265;244;187;325
01:00;48;125;109;178;319
02:00;33;162;148;97;182
03:00;30;162;148;82;155
04:00;26;163;148;78;145
05:00;27;136;126;64;125
06:00;35;115;103;116;212
07:00;39;131;109;181;315
08:00;42;121;101;194;339
09:00;45;111;88;200;350
10:00;59;121;97;232;413
11:00;75;108;79;263;476
12:00;77;89;61;196;377
13:00;51;44;30;69;156
14:00;59;25;15;80;182
15:00;80;39;21;156;318
16:00;113;87;44;392;712
17:00;123;132;83;443;799
18:00;129;208;155;486;871
19:00;112;200;155;437;780
20:00;95;230;190;385;682
21:00;114;246;199;613;1050
22:00;79;259;225;371;647
23:00;61;267;236;292;506
